INFO  - 2014-10-22 15:27:39.127; org.apache.solr.core.SolrCore; [recipeCollection] webapp=/solr path=/select params={q=*:*&facet.limit=20&json.wrf=jQuery21108328049576375633_1413984458964&json.nl=map&facet.mincount=1&rows=10&facet=true&wt=json&_=1413984458965} hits=139942 status=0 QTime=0 
INFO  - 2014-10-22 15:27:39.130; org.apache.solr.core.SolrCore; [recipeCollection] webapp=/solr path=/select params={q=*:*&facet.field=userRating&json.wrf=jQuery21108328049576375633_1413984458962&json.nl=map&sort=userRating+desc&facet.mincount=1&rows=20&facet=true&wt=json&_=1413984458963} hits=139942 status=0 QTime=3 
INFO  - 2014-10-22 15:27:39.427; org.apache.solr.core.SolrCore; [recipeCollection] webapp=/solr path=/select params={facet.limit=300&q=*:*&facet.field=titleStop&facet.field=ingredientname&json.wrf=jQuery21108328049576375633_1413984458964&json.nl=map&facet.mincount=1&rows=0&facet=true&wt=json&_=1413984458966} hits=139942 status=0 QTime=19 
INFO  - 2014-10-22 15:27:42.996; org.apache.solr.core.SolrCore; [recipeCollection] webapp=/solr path=/select params={json.wrf=jQuery21108328049576375633_1413984458962&wt=json&_=1413984458968} hits=0 status=0 QTime=1 
INFO  - 2014-10-22 15:27:42.996; org.apache.solr.core.SolrCore; [recipeCollection] webapp=/solr path=/select params={json.wrf=jQuery21108328049576375633_1413984458964&wt=json&_=1413984458967} hits=0 status=0 QTime=1 
INFO  - 2014-10-22 15:27:43.090; org.apache.solr.core.SolrCore; [recipeCollection] webapp=/solr path=/select params={facet.limit=2000&q=null&facet.field=ingredientname&json.wrf=jQuery21108328049576375633_1413984458962&json.nl=map&facet.mincount=1&rows=0&facet=true&wt=json&_=1413984458969} hits=11 status=0 QTime=6 
INFO  - 2014-10-22 15:27:43.092; org.apache.solr.core.SolrCore; [recipeCollection] webapp=/solr path=/select params={facet.limit=2000&q=null&facet.field=ingredientname&json.wrf=jQuery21108328049576375633_1413984458964&json.nl=map&facet.mincount=1&rows=0&facet=true&wt=json&_=1413984458970} hits=11 status=0 QTime=8 
INFO  - 2014-10-22 15:27:45.343; org.apache.solr.core.SolrCore; [recipeCollection] webapp=/solr path=/select params={json.wrf=jQuery21108328049576375633_1413984458964&fq=ingredientname:beef&wt=json&_=1413984458971} hits=0 status=0 QTime=0 
INFO  - 2014-10-22 15:27:45.363; org.apache.solr.core.SolrCore; [recipeCollection] webapp=/solr path=/select params={facet.limit=2000&q=null&facet.field=ingredientname&json.wrf=jQuery21108328049576375633_1413984458964&json.nl=map&facet.mincount=1&fq=ingredientname:beef&rows=0&facet=true&wt=json&_=1413984458972} hits=1 status=0 QTime=4 
INFO  - 2014-10-22 15:28:38.246; org.apache.solr.core.SolrCore; [recipeCollection] webapp=/solr path=/select params={q=*:*&facet.field=userRating&json.wrf=jQuery21107791851705405861_1413984518154&json.nl=map&sort=userRating+desc&facet.mincount=1&rows=20&facet=true&wt=json&_=1413984518155} hits=139942 status=0 QTime=4 
INFO  - 2014-10-22 15:28:38.253; org.apache.solr.core.SolrCore; [recipeCollection] webapp=/solr path=/select params={q=*:*&facet.limit=20&json.wrf=jQuery21107791851705405861_1413984518156&json.nl=map&facet.mincount=1&rows=10&facet=true&wt=json&_=1413984518157} hits=139942 status=0 QTime=0 
INFO  - 2014-10-22 15:28:38.697; org.apache.solr.core.SolrCore; [recipeCollection] webapp=/solr path=/select params={facet.limit=300&q=*:*&facet.field=titleStop&facet.field=ingredientname&json.wrf=jQuery21107791851705405861_1413984518156&json.nl=map&facet.mincount=1&rows=0&facet=true&wt=json&_=1413984518158} hits=139942 status=0 QTime=20 
INFO  - 2014-10-22 15:28:40.699; org.apache.solr.core.SolrCore; [recipeCollection] webapp=/solr path=/select params={json.wrf=jQuery21107791851705405861_1413984518156&wt=json&_=1413984518159} hits=0 status=0 QTime=0 
INFO  - 2014-10-22 15:28:40.705; org.apache.solr.core.SolrCore; [recipeCollection] webapp=/solr path=/select params={json.wrf=jQuery21107791851705405861_1413984518154&wt=json&_=1413984518160} hits=0 status=0 QTime=0 
INFO  - 2014-10-22 15:28:40.775; org.apache.solr.core.SolrCore; [recipeCollection] webapp=/solr path=/select params={facet.limit=2000&q=null&facet.field=ingredientname&json.wrf=jQuery21107791851705405861_1413984518156&json.nl=map&facet.mincount=1&rows=0&facet=true&wt=json&_=1413984518161} hits=11 status=0 QTime=6 
INFO  - 2014-10-22 15:28:40.775; org.apache.solr.core.SolrCore; [recipeCollection] webapp=/solr path=/select params={facet.limit=2000&q=null&facet.field=ingredientname&json.wrf=jQuery21107791851705405861_1413984518154&json.nl=map&facet.mincount=1&rows=0&facet=true&wt=json&_=1413984518162} hits=11 status=0 QTime=6 
INFO  - 2014-10-22 15:28:44.611; org.apache.solr.core.SolrCore; [recipeCollection] webapp=/solr path=/select params={json.wrf=jQuery21107791851705405861_1413984518154&fq=ingredientname:apfelsaft&wt=json&_=1413984518163} hits=0 status=0 QTime=0 
INFO  - 2014-10-22 15:28:44.624; org.apache.solr.core.SolrCore; [recipeCollection] webapp=/solr path=/select params={facet.limit=2000&q=null&facet.field=ingredientname&json.wrf=jQuery21107791851705405861_1413984518154&json.nl=map&facet.mincount=1&fq=ingredientname:apfelsaft&rows=0&facet=true&wt=json&_=1413984518164} hits=1 status=0 QTime=2 
